Microns,Voltage
0,3.1
1270,3
2032,2.6
2286,2.25
2540,2.05
2794,1.55
3048,1.2
3302,0.8
3556,0.5
3810,0.32
4064,0.16
4318,0.019
4572,0.045
4826,0.012
5080,0.002
